59,1:55.03,Francis Howell North,,59,1:52.64,Davin Bachtel,Lee's Summit West,,59,2:07.90,Kristopher Cobb,Raymore-Peculiar,,59,22.98,Langston Adams,Kirkwood,,59,56.59,Luke Deutschman,Eureka,,59,50.53,Connor Landuyt,Park Hill South,,59,5:11.99,William Newell,Rockhurst,,59,1:41.94,Ft. Zumwalt South,,59,58.41,Kaenan Nickl,Lee's Summit West,,59,1:04.93,Winston Rees,Parkway Central,,59,3:51.01,Platte County,
60,1:56.57,Poplar Bluff,,60,1:52.66,Connor Jensen,Liberty North,,60,2:08.01,Bernard Plassmeyer,Ladue Horton Watkins,,60,23.01,Ryder Green,St. Michael the Archangel,,60,56.62,Sean Greenwood,Lindbergh,,60,50.63,George Wood,Central (Springfield),,60,5:12.41,Christian Kropf,Ozark,,60,1:42.29,Summit Christian Academy,,60,58.42,Carson Butler,Glendale,,60,1:04.95,Magnus Yin,Clayton,,60,3:51.16,Smithville,
61,1:56.67,Washington,,61,1:52.82,Joseph Boevingloh,SLUH,,61,2:08.08,Van Current,Kickapoo,,61,23.02,Carson Butler,Glendale,,61,56.69,Ryan Moore,MICDS,,61,50.68,Kevin Wu,Ladue Horton Watkins,,61,5:12.62,Hayden Hough,Hillcrest,,61,1:42.32,St. Pius X (Kansas City),,61,58.45,Alex Lin,Marquette,,61,1:04.96,Charles Sicking,Parkway Central,,61,3:51.48,Lee's Summit North,
62,1:56.97,Francis Howell,,62,1:52.90,Matthew Riggs,Liberty,,62,2:08.11,Jan Handke,Jackson,,62,23.03,Harrison Seavey,Parkway West,,62,56.70,Michael Purcell,Chaminade College Prep,,62,50.69,Matthew Loesch,Lee's Summit West,,62,5:12.94,Matthew Riggs,Liberty,,62,1:42.61,Jackson,,62,58.46,Luke Deutschman,Eureka,,62,1:05.16,Giovanni (Gio) Bucci,Chaminade College Prep,,62,3:52.32,St. Pius X (Kansas City),
63,1:57.29,Camdenton,,63,1:52.97,Kyle Kunzler,Eureka,,63,2:08.13,Dravya Pradhan,Ladue Horton Watkins,,63,23.03,Hayden Davis,Liberty,,63,56.75,Micah Stith,McCluer North,,63,50.72,Nicholas Voigt,Parkway North,,63,5:13.68,Henry Hames,St. Pius X (Kansas City),,63,1:43.12,Lebanon,,63,58.48,Abram Marinchek,Savannah,,63,1:05.21,Harrison Frost,Westminster Christian Academy,,63,3:53.78,Carthage,
64,1:57.52,Battle,,64,1:53.05,Kaiden Cracraft,Notre Dame (Cape Girardeau),,64,2:08.18,Evan Smith,Webster Groves,,64,23.04,Maxwell Moore,Parkway West,,64,56.79,Jesse Myers,Central (Springfield),,64,50.76,Dawson Rudd,Logan-Rogersville,,64,5:13.92,Kane Lueckenhoff,Capital City,,64,1:43.24,Poplar Bluff,,64,58.64,Bryce Hopkins,Lee's Summit North,,64,1:05.32,Jacob Zupan,Park Hill South,,64,3:53.94,Rockwood Summit,
65,1:57.57,Summit Christian Academy,,65,1:53.06,Isaac Stewart,Park Hill,,65,2:08.27,Matthew Loesch,Lee's Summit West,,65,23.04,Winston Rees,Parkway Central,,65,56.82,Dravya Pradhan,Ladue Horton Watkins,,65,50.79,Isaac Wolfmeyer,Holt,,65,5:14.45,Miles Tomsic,Rockhurst,,65,1:43.24,St. Michael the Archangel,,65,58.83,William Dino,SLUH,,65,1:05.35,Mason Naseem,Liberty,,65,3:54.05,Poplar Bluff,
66,1:57.81,Raytown,,66,1:53.18,Giovanni (Gio) Bucci,Chaminade College Prep,,66,2:08.73,Jackson Brinton,Ladue Horton Watkins,,66,23.06,David Neier,Francis Howell,,66,56.90,William Lawrence,Central (Cape Girardeau),,66,50.82,Hunter Deutschmann,Parkway Central,,66,5:14.90,William Graul,Lafayette (Wildwood),,66,1:43.45,Blue Springs,,66,58.84,Adam Houck,Liberty,,66,1:05.44,Maxwell Moore,Parkway West,,66,3:54.11,Timberland,
67,1:57.97,Holt,,67,1:53.20,Grisham Gutshall,Platte County,,67,2:08.80,Evan Schmutz,Central (Springfield),,67,23.08,Casey O'Hara,Park Hill South,,67,56.90,Matthew Franz,SLUH,,67,50.87,Bryce Kundel,MICDS,,67,5:15.06,Hayden Hough,Central (Springfield),,67,1:43.60,Washington,,67,58.84,Nathan Bauer,Kirkwood,,67,1:05.46,Cole Strom,Webster Groves,,67,3:54.50,Washington,
68,1:58.04,Capital City,,68,1:53.23,Miller Dorsey,Kirkwood,,68,2:08.99,Curtis Murawski,Parkway West,,68,23.10,Kevin Wu,Ladue Horton Watkins,,68,56.98,Caden Ogles,Logan-Rogersville,,68,50.91,Henry Mura,Chaminade College Prep,,68,5:15.26,Jonah DeWilde,Rockhurst,,68,1:43.79,Camdenton,,68,59.02,Archie Bernsen,Kirkwood,,68,1:05.47,Mark Yurkuns,Clayton,,68,3:55.41,Hillcrest,
69,1:58.05,Warrensburg,,69,1:53.47,Mason Moellering,Parkway West,,69,2:09.02,Nathan Robbins,Francis Howell,,69,23.11,Henry Mura,Chaminade College Prep,,69,57.09,Alexander Foot,Park Hill South,,69,50.97,Colby Robic,Christian Brothers College,,69,5:15.48,Alexander Wiggins,SLUH,,69,1:44.25,Capital City,,69,59.03,Ari Elder,Park Hill South,,69,1:05.52,Xavier Cavanaugh,Oak Park,,69,3:55.50,Warrensburg,
70,1:58.40,Savannah,,70,1:53.60,David Starr Jr,Liberty,,70,2:09.04,Jace Graham,Liberty,,70,23.11,David Starr Jr,Liberty,,70,57.10,Clark Montgomery,Webster Groves,,70,51.00,Kemper Roberts,Rockhurst,,70,5:15.79,Davin Bachtel,Lee's Summit West,,70,1:44.53,Liberty North,,70,59.04,Kaler Baker,Central (St. Joseph),,70,1:05.55,Graham Henderson,Liberty,,70,3:59.83,Kickapoo,
71,1:59.48,Waynesville,,71,1:53.62,Riley Johnson,Hickman,,71,2:09.18,Archie Bernsen,Kirkwood,,71,23.12,Jace Graham,Liberty,,71,57.12,Mason McIntyre,Hannibal,,71,51.03,Gavin Waser,Rockwood Summit,,71,5:16.23,Kyle Kunzler,Eureka,,71,1:44.95,Timberland,,71,59.14,Hudson Meyer,Lee's Summit,,71,1:05.68,Jonah DeWilde,Rockhurst,,71,4:02.91,Camdenton,
72,1:59.82,Hannibal,,72,1:54.05,Ethan Melson,Eureka,,72,2:09.34,Kane Powell,Parkway North,,72,23.12,Dayton Smith,Lee's Summit,,72,57.18,Connor Landuyt,Park Hill South,,72,51.03,Jung Bin Kim,Lee's Summit,,72,5:16.40,Isaac Stewart,Park Hill,,72,1:45.29,William Chrisman,,72,59.18,John Claxton,Rockhurst,,72,1:05.77,Matthew Franz,SLUH,,72,4:03.19,William Chrisman,
73,2:00.19,Kickapoo,,73,1:54.06,Aidan Workman,Parkway North,,73,2:09.35,Ryan Moore,MICDS,,73,23.14,Caden Ogles,Logan-Rogersville,,73,57.25,Bernard Plassmeyer,Ladue Horton Watkins,,73,51.09,Owen Gray,Central (Springfield),,73,5:16.44,Connor Jensen,Liberty North,,73,1:45.37,West Plains,,73,59.22,Trey Burle,Missouri Military Academy,,73,1:05.82,Mason Wardlow,William Chrisman,,73,4:06.34,Belton,
74,2:00.37,Timberland,,74,1:54.11,Kolton Evans,Nevada,,74,2:09.37,Maxwell McMillan,Marquette,,74,23.15,Brayden Miao,Central (Springfield),,74,57.32,Mason Wardlow,William Chrisman,,74,51.15,Charles Sicking,Parkway Central,,74,5:16.52,Blake Hallsten,Oakville,,74,1:45.47,Savannah,,74,59.28,James Wienke,Kirkwood,,74,1:05.82,Hunter Johnson,Camdenton,,74,4:08.31,Francis Howell Central,
75,2:01.17,Hillcrest,,75,1:54.17,Mason Wardlow,William Chrisman,,75,2:09.61,Barrett Mertens,Parkway North,,75,23.16,Fynn Gilburn,Blue Springs South,,75,57.38,Maxwell McMillan,Marquette,,75,51.19,Campbell Hoefgen,Webster Groves,,75,5:16.75,Owen Eyink,Hickman,,75,1:45.73,Oakville,,75,59.55,Henry Hames,St. Pius X (Kansas City),,75,1:05.84,Hayes McIntosh,Blue Springs South,,,,,
76,2:01.84,Belton,,76,1:54.31,Seth Augustine,Liberty North,,76,2:09.70,Connor Landuyt,Park Hill South,,76,23.17,John Claxton,Rockhurst,,76,57.47,Aidan Brennan,Clayton,,76,51.21,Logan Lawrence,Staley,,76,5:16.91,Shawn Gill,Lindbergh,,76,1:46.16,Liberty (Wentzville),,76,59.62,Aidan Brennan,Clayton,,76,1:05.84,Calvin Mueller,Hannibal,,,,,
77,2:01.96,Francis Howell Central,,77,1:54.36,Casey O'Hara,Park Hill South,,77,2:09.73,Hunter Deutschmann,Parkway Central,,77,23.17,Connor Landuyt,Park Hill South,,77,57.55,Matthew Riggs,Liberty,,77,51.25,Kyle Kunzler,Eureka,,77,5:17.25,Charles Sicking,Parkway Central,,77,1:46.33,Waynesville,,77,59.70,Nicholas Voigt,Parkway North,,77,1:05.90,Gavin Joyner,Parkway South,,,,,
78,2:02.12,Ft. Zumwalt West,,78,1:54.38,Nick Kim,Parkway Central,,78,2:10.00,Davin Bachtel,Lee's Summit West,,78,23.19,Campbell Hoefgen,Webster Groves,,78,57.62,Davin Bachtel,Lee's Summit West,,78,51.32,Owen Waeckerle,Lafayette (Wildwood),,78,5:17.61,Ari Elder,Park Hill South,,78,1:47.04,Belton,,78,59.80,Brayden Miao,Central (Springfield),,78,1:05.92,Archer Sanderson,Blue Springs South,,,,,
79,2:02.14,Lebanon,,79,1:54.48,Camden Barry,Pattonville,,79,2:10.13,Michael Purcell,Chaminade College Prep,,79,23.20,Jung Hoon Kim,Lee's Summit,,79,57.64,Adam Houck,Liberty,,79,51.32,Finn Hoffman,Lee's Summit West,,79,5:17.94,Harper Beffa,Staley,,79,1:47.05,Francis Howell Central,,79,59.81,Tyler He,Clayton,,79,1:05.95,Casey O'Hara,Park Hill South,,,,,
80,2:02.91,St. Michael the Archangel,,80,1:54.59,Finn Hoffman,Lee's Summit West,,80,2:10.43,Tanner Huelsmann,Parkway North,,80,23.21,Owen Waeckerle,Lafayette (Wildwood),,80,57.64,Jonas Orpe,Lafayette (Wildwood),,80,51.36,Carter Roberts,Glendale,,80,5:18.64,Aidan Eastman,Lutheran St. Charles,,80,1:47.23,Central (Cape Girardeau),,80,59.88,Schafer Spitznagel,Oakville,,80,1:05.96,Justin Truong,Oak Park,,,,,
81,2:04.13,West Plains,,81,1:54.62,Carter Roberts,Glendale,,81,2:10.43,Silas Bextermueller,Christian Brothers College,,81,23.22,William Newell,Rockhurst,,81,57.66,Ethan Hill,SLUH,,81,51.37,Jonathan Grant,Pembroke Hill,,81,5:19.17,Cole Morrison,Eureka,,81,1:47.27,Marshall,,81,59.97,Matthew Warren,Rockhurst,,81,1:06.02,Jacob Corbett,SLUH,,,,,
82,2:04.73,Central (Cape Girardeau),,82,1:54.77,Davis Johnson,John Burroughs,,82,2:10.46,Grant Heidbrink,SLUH,,82,23.23,Hunter Morris,Christian Brothers College,,82,57.66,Cooper Keys,Ladue Horton Watkins,,82,51.39,John Salido,Rockhurst,,82,5:19.24,Owen Bland,Rockhurst,,82,1:47.93,Winnetonka,,82,1:00.07,Harrison Frost,Westminster Christian Academy,,82,1:06.05,Daniel Peterson,MICDS,,,,,
83,2:05.23,Thomas Jefferson Independent Day,,83,1:54.87,Aidan Eastman,Lutheran St. Charles,,83,2:10.62,Timothy Harmon,Rockhurst,,83,23.24,Whitaker Steward,Kearney,,83,57.70,Kyle Kunzler,Eureka,,83,51.40,John Claxton,Rockhurst,,83,5:19.26,Davis Johnson,John Burroughs,,83,1:48.67,Ft. Zumwalt West,,83,1:00.07,Ryosuke Kobayashi,Clayton,,83,1:06.24,Owen Waeckerle,Lafayette (Wildwood),,,,,
,,,,84,1:54.93,Eli Mullen,Lutheran St. Charles,,84,2:10.81,Nathan Searls,Liberty,,84,23.25,Reilly Eagan,Rockhurst,,84,57.72,Jameson Barnes,Monett,,84,51.42,Fynn Gilburn,Blue Springs South,,84,5:19.37,Noah Gerth,Parkway West,,84,1:49.68,Battle,,84,1:00.12,Magnus Yin,Clayton,,84,1:06.45,Anderson Luecke,Webster Groves,,,,,
,,,,85,1:54.95,William Newell,Rockhurst,,85,2:10.85,Ethan Lee,Lafayette (Wildwood),,85,23.27,Alec Unterreiner,Liberty North,,85,57.75,Joseph Boevingloh,SLUH,,85,51.42,Hunter Johnson,Camdenton,,85,5:19.91,Kolton Evans,Nevada,,85,1:49.74,Farmington,,85,1:00.12,Haden Harshman,Grain Valley,,85,1:06.56,Daniel Sattler,Marquette,,,,,
,,,,86,1:55.01,Curtis Murawski,Parkway West,,86,2:10.88,Landon Gillis,Lee's Summit West,,86,23.28,Cameron Stallman,Hickman,,86,57.76,Burgess Walden,Pembroke Hill,,86,51.47,Elias VanZee,Farmington,,86,5:20.15,Jackson Ringhofer,Parkway West,,86,1:49.83,Missouri Military Academy,,86,1:00.15,Brady Scamman,Park Hill,,86,1:06.57,Embry Collins,Hickman,,,,,
,,,,87,1:55.30,Aidan Brennan,Clayton,,87,2:11.04,Joseph Boevingloh,SLUH,,87,23.28,Kolton Evans,Nevada,,87,57.78,Braeden Mallonee,Kearney,,87,51.51,Ryan Lipski,Liberty (Wentzville),,87,5:21.92,Eli Havens,Lebanon,,87,1:50.85,Thomas Jefferson Independent Day,,87,1:00.40,Isaac Stewart,Park Hill,,87,1:06.90,Jameson Barnes,Monett,,,,,
,,,,88,1:55.36,Carter Reece,Blue Springs South,,88,2:11.05,Noah Burns,SLUH,,88,23.29,Joshua Battison,Rockhurst,,88,57.81,Ashan Appuhamy,Thomas Jefferson Independent Day,,88,51.55,"John (JP) Costello, Jr",Chaminade College Prep,,88,5:22.65,Dylan DuBois,Staley,,88,1:51.07,Jefferson City,,88,1:00.61,Benjamin Honson,Central (St. Joseph),,88,1:06.93,Noah Burns,SLUH,,,,,
,,,,89,1:55.49,Matthew Loesch,Lee's Summit West,,89,2:11.07,Christian Kropf,Ozark,,89,23.29,Andrew Russell,Nevada,,89,57.82,William Wright,Carthage,,89,51.55,William Newell,Rockhurst,,89,5:22.66,Casey O'Hara,Park Hill South,,89,1:51.83,Ft. Zumwalt North,,89,1:00.66,Andrew Russell,Nevada,,89,1:06.98,David Miller,Kirkwood,,,,,
,,,,90,1:55.69,Chase Ellis,Blue Springs South,,90,2:11.15,Brenden Henke,Eureka,,90,23.31,Jonas Orpe,Lafayette (Wildwood),,90,57.96,Luke Bauer,Kirkwood,,90,51.59,Maxwell McMillan,Marquette,,90,5:22.74,Cameron Welek,Christian Brothers College,,90,1:52.31,North Kansas City,,90,1:00.85,Ethan Dubbert,Rock Bridge,,90,1:07.01,Glen Widjaja,Ladue Horton Watkins,,,,,
,,,,91,1:55.73,Ty McKinnis,Oak Park,,91,2:11.39,Justin Truong,Oak Park,,91,23.31,Trace Gould,Nevada,,91,57.96,Conner Osburn,Grain Valley,,91,51.65,Connor Jensen,Liberty North,,91,5:22.89,Daniel Peterson,MICDS,,91,1:54.04,McCluer North,,91,1:00.94,Timothy Harmon,Rockhurst,,91,1:07.17,Macallister Calder,Ft. Zumwalt South,,,,,
,,,,92,1:55.79,Charles Sicking,Parkway Central,,92,2:11.50,Haden Harshman,Grain Valley,,92,23.31,Jacob Leavitt,Marshall,,92,58.02,Trey Burle,Missouri Military Academy,,92,51.67,Jameson Barnes,Monett,,92,5:23.09,Colby Robic,Christian Brothers College,,92,1:54.34,Truman,,92,1:01.08,Ronan Waters,Park Hill,,92,1:07.22,Christian Kropf,Ozark,,,,,
,,,,93,1:55.86,Jacob Kendall,Rockhurst,,93,2:11.60,Colby Robic,Christian Brothers College,,93,23.34,Magnus Yin,Clayton,,93,58.06,Timothy Harmon,Rockhurst,,93,51.69,Kaenan Nickl,Lee's Summit West,,93,5:23.88,Trevor Sifers,Rockhurst,,,,,,93,1:01.12,Camden Barry,Pattonville,,93,1:07.43,"Jason Kraft, Jr.",Westminster Christian Academy,,,,,
,,,,94,1:56.11,Bentley Stasiak,Blue Springs South,,94,2:11.63,Bryce Hopkins,Lee's Summit North,,94,23.36,Jackson Fisher,Lebanon,,94,58.16,Tae Han Park,Francis Howell,,94,51.77,Benjamin Honson,Central (St. Joseph),,94,5:23.90,Henry Price,De Smet Jesuit,,,,,,94,1:01.12,Arlo Ziolkowski,Ladue Horton Watkins,,94,1:07.47,Carter Wieser,Parkway Central,,,,,
,,,,95,1:56.12,Jack Vaden,Park Hill,,95,2:11.77,Cole Tobin,Liberty,,95,23.38,Robert Jansen,Lee's Summit West,,95,58.17,Richard Hoover,Park Hill,,95,51.77,Hayden Davis,Liberty,,95,5:24.12,Jack Messick,Rockhurst,,,,,,95,1:01.18,Chase Weatherby,Lee's Summit West,,95,1:07.47,Haden Harshman,Grain Valley,,,,,
,,,,96,1:56.13,Hayden Davis,Liberty,,96,2:11.77,Ziji Qi,Rock Bridge,,96,23.38,William Townsend,Rockhurst,,96,58.17,Greg Wilson,Christian Brothers College,,96,51.77,Riley Tinsley,Battle,,96,5:24.49,Nick Kim,Parkway Central,,,,,,96,1:01.24,Phinehas Reneau,Lee's Summit West,,96,1:07.54,David Rohrer,Glendale,,,,,
,,,,97,1:56.18,Embry Collins,Hickman,,97,2:11.79,Gavin Waser,Rockwood Summit,,97,23.41,Sidney Ruth,Lincoln College Prep,,97,58.17,William Jermann,Pembroke Hill,,97,51.78,Kolton Evans,Nevada,,97,5:24.61,Charlie Schlotzhauer,Lee's Summit West,,,,,,97,1:01.27,Eli Workman,Liberty,,97,1:07.64,Tyson Gould,Nevada,,,,,
,,,,98,1:56.33,Colby Robic,Christian Brothers College,,98,2:12.01,William Zhang,Marquette,,98,23.45,Lucas Day,Parkway South,,98,58.23,Hayden Hough,Central (Springfield),,98,51.79,Evan Smith,Webster Groves,,98,5:24.69,Carson Mais,Lindbergh,,,,,,98,1:01.28,Anderson Take,Parkway West,,98,1:07.82,Gavin Cook,Central (St. Joseph),,,,,
,,,,99,1:56.36,Jackson Ringhofer,Parkway West,,99,2:12.02,Aidan Brennan,Clayton,,99,23.46,Evan Smith,Webster Groves,,99,58.37,Myles Huey,Liberty,,99,51.84,Hudson Meyer,Lee's Summit,,99,5:26.18,Dravya Pradhan,Ladue Horton Watkins,,,,,,99,1:01.30,Cole Rennels,Eureka,,99,1:07.86,Connor Landuyt,Park Hill South,,,,,
,,,,100,1:56.36,Grant Heidbrink,SLUH,,100,2:12.05,Ryosuke Kobayashi,Clayton,,100,23.51,Logan Summers,Smithville,,100,58.45,Brenden Henke,Eureka,,100,51.87,Miles Tomsic,Rockhurst,,100,5:26.37,David Starr Jr,Liberty,,,,,,100,1:01.33,Jamin Callaway,Staley,,100,1:07.88,Colin Cunneen,Chaminade College Prep,,,,,
,,,,101,1:56.91,Kai Kirsten,Rockwood Summit,,101,2:12.51,Logan Welek,Christian Brothers College,,101,23.53,Ahmir Halliburton,Parkway South,,101,58.51,Alex Lin,Marquette,,101,51.89,Andrew Russell,Nevada,,101,5:26.91,Reed King,Eureka,,,,,,101,1:01.36,Beau Jonkman,Platte County,,101,1:07.90,Adheesh Giritharan,Parkway Central,,,,,
,,,,102,1:56.95,Matthew Warren,Rockhurst,,102,2:12.53,Conner Osburn,Grain Valley,,102,23.54,John Laird,Kirkwood,,102,58.56,Haden Harshman,Grain Valley,,102,51.91,Lucas Day,Parkway South,,102,5:27.42,Ethan Schneider,Glendale,,,,,,102,1:01.38,Connor Muran,Parkway Central,,102,1:07.90,William Adams,Farmington,,,,,
,,,,103,1:56.96,Kyle Stephan,Marquette,,103,2:12.55,Arlo Ziolkowski,Ladue Horton Watkins,,103,23.55,Colin Teson,St. Pius X (Kansas City),,103,58.58,Aarav Sade,Francis Howell,,103,51.91,John Ward,Staley,,103,5:27.42,Finn Hoffman,Lee's Summit West,,,,,,103,1:01.39,Tynan Meyer,Oak Park,,103,1:08.01,Hayden Davis,Liberty,,,,,
,,,,104,1:57.01,Owen Bland,Rockhurst,,104,2:12.64,Isaac Stewart,Park Hill,,104,23.58,Kristopher Cobb,Raymore-Peculiar,,104,58.67,Nash Wiles,Lee's Summit,,104,51.94,Hudson Tripp,Francis Howell,,104,5:27.59,Matthew Warren,Rockhurst,,,,,,104,1:01.43,Noah Hoffman,Parkway Central,,104,1:08.13,Lyric Floersch,Blue Springs,,,,,
,,,,105,1:57.09,Cameron Welek,Christian Brothers College,,105,2:12.73,Micah Stith,McCluer North,,105,23.58,Fields Floersch,Blue Springs,,105,58.73,Christian Chang,John Burroughs,,105,51.97,William Townsend,Rockhurst,,105,5:28.58,Dayton Smith,Lee's Summit,,,,,,105,1:01.43,Samuel Genin,John Burroughs,,105,1:08.19,Dev Desai,John Burroughs,,,,,
,,,,106,1:57.17,Cooper Salvia,Pattonville,,106,2:12.78,Jameson Barnes,Monett,,106,23.60,Eric Hopkins,Raymore-Peculiar,,106,58.76,Colby Robic,Christian Brothers College,,106,51.98,Cole Rennels,Eureka,,106,5:28.59,Blake Flynn,Marquette,,,,,,106,1:01.50,Neil Fritts,Monett,,106,1:08.20,William Newell,Rockhurst,,,,,
,,,,107,1:57.24,Eli Havens,Lebanon,,107,2:12.93,Oliver Thompson,Webb City,,107,23.63,Matthew Loesch,Lee's Summit West,,107,58.78,Andrew Collins,Ft. Zumwalt South,,107,52.00,Jung Hoon Kim,Lee's Summit,,107,5:28.60,Parker Groves,SLUH,,,,,,107,1:01.50,Logan Welek,Christian Brothers College,,107,1:08.30,Davin Bachtel,Lee's Summit West,,,,,
,,,,108,1:57.31,Tavin Nachlinger,Park Hill South,,108,2:13.00,Caleb Scott,Francis Howell North,,108,23.64,Josh Caleb Ople,Parkway West,,108,58.83,Brady Scamman,Park Hill,,108,52.00,Abram Marinchek,Savannah,,108,5:28.84,Nathan Malt,Parkway Central,,,,,,108,1:01.54,Jack Campbell,Columbia Independent,,108,1:08.31,Kyle Kunzler,Eureka,,,,,
,,,,109,1:57.45,Ryan Moore,MICDS,,109,2:13.35,Dalton Spence,Webb City,,109,23.66,Carter Roberts,Glendale,,109,58.89,Justin Hendricks,Staley,,109,52.02,William Zhang,Marquette,,109,5:29.05,Mason McIntyre,Hannibal,,,,,,109,1:01.56,David Starr Jr,Liberty,,109,1:08.51,Curtis Murawski,Parkway West,,,,,
,,,,110,1:57.47,Jackson Fisher,Lebanon,,110,2:13.41,Nathan Malt,Parkway Central,,110,23.67,Ronan Waters,Park Hill,,110,58.94,Andrew Byrd,Central (St. Joseph),,110,52.06,Jack Vaden,Park Hill,,110,5:29.25,Clayton Tankersley,Smith-Cotton,,,,,,110,1:01.59,Dalton Spence,Webb City,,110,1:08.65,Aidan Workman,Parkway North,,,,,
,,,,111,1:57.50,Charlie Schlotzhauer,Lee's Summit West,,111,2:13.47,Jesse Myers,Central (Springfield),,111,23.67,Elias VanZee,Farmington,,111,58.98,Parker Harrington,Lee's Summit West,,111,52.06,Trey Burle,Missouri Military Academy,,111,5:29.33,Jack Simms,Christian Brothers College,,,,,,111,1:01.65,Dravya Pradhan,Ladue Horton Watkins,,111,1:08.72,Alex Lin,Marquette,,,,,
,,,,112,1:57.55,Noah Gerth,Parkway West,,112,2:13.52,William Lawrence,Central (Cape Girardeau),,112,23.67,Jameson Barnes,Monett,,112,58.99,Oliver Thompson,Webb City,,112,52.07,Hunter Morris,Christian Brothers College,,112,5:29.67,Matthew Loesch,Lee's Summit West,,,,,,112,1:01.71,Tiernan Mueller,Eureka,,112,1:08.81,Connor Jensen,Liberty North,,,,,
,,,,113,1:57.74,Dalton Spence,Webb City,,113,2:13.63,Camden Barry,Pattonville,,113,23.68,Owen Guthrie,Lee's Summit North,,113,59.00,Chase Bryant,Parkway Central,,113,52.09,Oliver Thompson,Webb City,,113,5:29.82,Jack Vaden,Park Hill,,,,,,113,1:01.86,Jack Linder-Maloney,Smithville,,113,1:08.88,Charlie Schlotzhauer,Lee's Summit West,,,,,
,,,,114,1:57.87,Justin Truong,Oak Park,,114,2:13.73,Owen Bland,Rockhurst,,114,23.69,Matthew Warren,Rockhurst,,114,59.00,Eric Hopkins,Raymore-Peculiar,,114,52.09,Alec Unterreiner,Liberty North,,114,5:29.83,Jakob Brinkman,SLUH,,,,,,114,1:01.86,Colby Robic,Christian Brothers College,,114,1:08.96,Alden Marshall,Lee's Summit West,,,,,
,,,,115,1:57.98,Ethan Schneider,Glendale,,115,2:13.86,Ethan Melson,Eureka,,115,23.71,Jack Vaden,Park Hill,,115,59.02,Hayden Hough,Hillcrest,,115,52.10,Ahmir Halliburton,Parkway South,,115,5:29.84,"Jason Kraft, Jr.",Westminster Christian Academy,,,,,,115,1:01.91,Grayson Grimmer,Lee's Summit,,115,1:09.02,Landon Gillis,Lee's Summit West,,,,,
,,,,116,1:58.05,Cole Morrison,Eureka,,116,2:13.90,Kai Kirsten,Rockwood Summit,,116,23.71,Kyle Kunzler,Eureka,,116,59.09,Dalton Spence,Webb City,,116,52.11,Tyler He,Clayton,,116,5:29.88,Ryan George,Parkway South,,,,,,116,1:02.00,Grant Heidbrink,SLUH,,116,1:09.03,Hayden Orf,Ft. Zumwalt North,,,,,
,,,,117,1:58.10,Cole Rennels,Eureka,,117,2:13.95,Charles Hake,Vianney,,117,23.73,Tavin Nachlinger,Park Hill South,,117,59.12,Camden Barry,Pattonville,,117,52.18,August Hromadka,Lindbergh,,117,5:30.87,Austin Knoerle,Parkway North,,,,,,117,1:02.03,Carter Reece,Blue Springs South,,117,1:09.18,Carter Chen,Kirkwood,,,,,
,,,,118,1:58.11,William Graul,Lafayette (Wildwood),,118,2:13.96,Maxwell Moore,Parkway West,,118,23.74,Crew Cronkhite,Glendale,,118,59.14,Kemper Roberts,Rockhurst,,118,52.25,Mason Moellering,Parkway West,,118,5:30.98,Hauke Reiss,Kirkwood,,,,,,118,1:02.05,Embry Collins,Hickman,,118,1:09.24,Isaac Stewart,Park Hill,,,,,
,,,,119,1:58.32,"John Dohm, III",MICDS,,119,2:14.01,Rainier Realina,Park Hill,,119,23.75,Hayes McIntosh,Blue Springs South,,119,59.19,Calvin Mueller,Hannibal,,119,52.27,John Welch,Lutheran St. Charles,,119,5:31.02,Ryan Moore,MICDS,,,,,,119,1:02.09,Bentley Stasiak,Blue Springs South,,119,1:09.26,Alexander Foot,Park Hill South,,,,,
,,,,120,1:58.33,Colin Teson,St. Pius X (Kansas City),,120,2:14.01,Kevin Wu,Ladue Horton Watkins,,120,23.76,August Hromadka,Lindbergh,,120,59.21,Josh Caleb Ople,Parkway West,,120,52.39,Evan Taber,Staley,,120,5:31.04,Cole Rennels,Eureka,,,,,,120,1:02.09,Grisham Gutshall,Platte County,,120,1:09.28,Finn Hoffman,Lee's Summit West,,,,,
,,,,121,1:58.40,Conner Osburn,Grain Valley,,121,2:14.02,Noah Hoffman,Parkway Central,,121,23.76,Parker Hulshof,Notre Dame (Cape Girardeau),,121,59.31,Joseph Wegener,Staley,,121,52.45,Zachary Hallemann,Lindbergh,,121,5:31.26,Micah Stith,McCluer North,,,,,,121,1:02.12,Matthew Gilles,Parkway South,,121,1:09.30,Owen Gray,Central (Springfield),,,,,
,,,,122,1:58.52,Josh Caleb Ople,Parkway West,,122,2:14.09,Owen Gray,Central (Springfield),,122,23.78,Adam Houck,Liberty,,122,59.47,John Salido,Rockhurst,,122,52.46,Luke Deutschman,Eureka,,122,5:31.61,Anderson Take,Parkway West,,,,,,122,1:02.13,Benjamin Pursell,Notre Dame (Cape Girardeau),,122,1:09.38,Brayden Rowland,Rockhurst,,,,,
